EmployeeID,Name,Department,JobRole,WorkHours,Leaves,Stress,Health,Productivity,Timestamp,JobSatisfaction,BurnoutFeeling,Feedback
EMP00001,Employee_1,Marketing,Manager,75,4,8,8,7,2024-02-14 00:00:00,7,Often,Good work-life balance
EMP00002,Employee_2,IT,Developer,59,7,1,10,8,2024-07-07 00:00:00,8,No,Workload is manageable
EMP00003,Employee_3,Finance,Intern,63,5,9,8,6,2024-08-20 00:00:00,2,Often,Workload is manageable
EMP00004,Employee_4,Other,Team Lead,44,11,6,6,6,2024-02-03 00:00:00,4,Sometimes,Satisfied with current role
EMP00005,Employee_5,Operations,Team Lead,65,6,1,4,6,2024-11-26 00:00:00,8,No,Feeling stressed recently
EMP00006,Employee_6,HR,Manager,43,8,4,9,8,2024-03-23 00:00:00,7,No,Good work-life balance
EMP00007,Employee_7,HR,Manager,68,1,5,4,5,2024-09-18 00:00:00,3,Often,Satisfied with current role
EMP00008,Employee_8,Operations,Analyst,67,0,8,7,8,2024-08-26 00:00:00,9,Often,Career growth opportunities needed
EMP00009,Employee_9,Marketing,Intern,69,0,9,10,4,2024-05-11 00:00:00,1,Often,Good work-life balance
EMP00010,Employee_10,IT,Analyst,38,8,5,6,3,2024-02-09 00:00:00,1,Sometimes,Career growth opportunities needed
EMP00011,Employee_11,Other,Developer,37,10,3,7,5,2024-04-23 00:00:00,7,No,Good work-life balance
EMP00012,Employee_12,Operations,Manager,65,7,4,8,9,2024-03-24 00:00:00,2,No,Career growth opportunities needed
EMP00013,Employee_13,Other,Team Lead,70,2,10,9,10,2024-12-19 00:00:00,5,Often,Feeling stressed recently
EMP00014,Employee_14,Operations,Manager,46,11,4,4,7,2024-01-12 00:00:00,6,No,Need better management support
EMP00015,Employee_15,Other,Team Lead,46,9,2,5,5,2024-12-22 00:00:00,7,No,Satisfied with current role
EMP00016,Employee_16,Marketing,Intern,43,12,4,4,10,2024-07-13 00:00:00,3,No,Need better management support
EMP00017,Employee_17,Other,Intern,69,6,10,4,10,2024-02-09 00:00:00,9,Often,Good work-life balance
EMP00018,Employee_18,Finance,Developer,59,5,1,6,4,2024-10-17 00:00:00,7,No,Feeling stressed recently
EMP00019,Employee_19,IT,Developer,46,1,2,7,3,2024-02-12 00:00:00,2,No,Workload is manageable
EMP00020,Employee_20,Finance,Analyst,65,4,4,9,3,2024-02-06 00:00:00,8,No,Good work-life balance
EMP00021,Employee_21,HR,Manager,51,6,7,7,5,2024-04-28 00:00:00,5,Sometimes,Career growth opportunities needed
EMP00022,Employee_22,Marketing,Team Lead,65,10,4,9,3,2024-11-24 00:00:00,1,No,Good work-life balance
EMP00023,Employee_23,IT,Executive,31,10,8,9,5,2024-06-07 00:00:00,9,Often,Good work-life balance
EMP00024,Employee_24,Finance,Developer,45,11,9,4,9,2024-07-14 00:00:00,4,Often,Career growth opportunities needed
EMP00025,Employee_25,HR,Team Lead,31,10,7,8,9,2024-09-02 00:00:00,9,Sometimes,Workload is manageable
EMP00026,Employee_26,HR,Executive,59,10,2,7,9,2024-01-07 00:00:00,3,No,Good work-life balance
EMP00027,Employee_27,IT,Developer,33,5,3,4,3,2024-03-08 00:00:00,1,No,Workload is manageable
EMP00028,Employee_28,Other,Developer,62,4,9,5,7,2024-11-09 00:00:00,6,Often,Satisfied with current role
EMP00029,Employee_29,Marketing,Analyst,64,3,2,10,4,2024-11-08 00:00:00,9,No,Feeling stressed recently
EMP00030,Employee_30,Operations,Analyst,35,8,9,9,4,2024-06-01 00:00:00,8,Often,Feeling stressed recently
EMP00031,Employee_31,Marketing,Team Lead,42,4,8,6,8,2024-06-26 00:00:00,6,Often,Satisfied with current role
EMP00032,Employee_32,Operations,Analyst,54,2,7,8,4,2024-08-18 00:00:00,5,Sometimes,Good work-life balance
EMP00033,Employee_33,Other,Executive,52,2,8,9,5,2024-12-02 00:00:00,8,Often,Good work-life balance
EMP00034,Employee_34,HR,Executive,32,4,5,4,5,2024-02-12 00:00:00,9,Sometimes,Satisfied with current role
EMP00035,Employee_35,IT,Team Lead,34,6,1,9,4,2024-10-23 00:00:00,10,No,Good work-life balance
EMP00036,Employee_36,Other,Analyst,60,7,8,9,7,2024-08-23 00:00:00,8,Often,Need better management support
EMP00037,Employee_37,Operations,Team Lead,71,9,5,6,6,2024-06-12 00:00:00,6,Often,Career growth opportunities needed
EMP00038,Employee_38,Finance,Developer,75,7,2,5,3,2024-03-13 00:00:00,7,Often,Feeling stressed recently
EMP00039,Employee_39,Marketing,Team Lead,53,5,6,10,3,2024-07-24 00:00:00,5,Sometimes,Satisfied with current role
EMP00040,Employee_40,IT,Team Lead,67,3,10,9,9,2024-07-31 00:00:00,8,Often,Feeling stressed recently
EMP00041,Employee_41,Other,Developer,46,5,7,7,7,2024-09-01 00:00:00,10,Sometimes,Satisfied with current role
EMP00042,Employee_42,Finance,Team Lead,38,11,10,6,3,2024-07-02 00:00:00,10,Often,Feeling stressed recently
EMP00043,Employee_43,Other,Intern,65,9,7,6,6,2024-04-13 00:00:00,6,Sometimes,Good work-life balance
EMP00044,Employee_44,Finance,Intern,36,4,6,4,7,2024-06-28 00:00:00,7,Sometimes,Satisfied with current role
EMP00045,Employee_45,Operations,Developer,64,10,4,6,9,2024-02-23 00:00:00,9,No,Satisfied with current role
EMP00046,Employee_46,Operations,Manager,50,3,10,10,8,2024-10-29 00:00:00,9,Often,Career growth opportunities needed
EMP00047,Employee_47,Marketing,Manager,43,10,4,6,8,2024-06-18 00:00:00,10,No,Need better management support
EMP00048,Employee_48,Operations,Analyst,43,11,2,8,9,2024-10-30 00:00:00,5,No,Need better management support
EMP00049,Employee_49,Finance,Analyst,45,2,4,8,8,2024-12-25 00:00:00,6,No,Need better management support
EMP00050,Employee_50,Marketing,Executive,66,2,4,7,3,2024-01-20 00:00:00,2,Often,Need better management support
EMP00051,Employee_51,IT,Team Lead,34,7,9,10,10,2024-02-14 00:00:00,2,Often,Good work-life balance
EMP00052,Employee_52,IT,Analyst,50,3,2,7,7,2024-01-31 00:00:00,9,No,Feeling stressed recently
EMP00053,Employee_53,Other,Intern,64,10,5,7,3,2024-09-15 00:00:00,4,Sometimes,Satisfied with current role
EMP00054,Employee_54,Other,Analyst,66,11,8,6,3,2024-01-13 00:00:00,1,Often,Need better management support
EMP00055,Employee_55,Operations,Executive,53,3,9,6,10,2024-12-07 00:00:00,10,Often,Need better management support
EMP00056,Employee_56,Marketing,Team Lead,75,8,1,8,9,2024-03-17 00:00:00,6,Often,Need better management support
EMP00057,Employee_57,Other,Analyst,61,8,6,10,3,2024-10-20 00:00:00,8,Sometimes,Feeling stressed recently
EMP00058,Employee_58,IT,Executive,75,9,5,10,6,2024-06-28 00:00:00,2,Often,Feeling stressed recently
EMP00059,Employee_59,Finance,Executive,33,6,6,6,7,2024-05-09 00:00:00,3,Sometimes,Career growth opportunities needed
EMP00060,Employee_60,Finance,Analyst,59,0,2,5,8,2024-07-13 00:00:00,6,No,Career growth opportunities needed
EMP00061,Employee_61,Other,Analyst,67,9,1,4,4,2024-05-26 00:00:00,9,Often,Feeling stressed recently
EMP00062,Employee_62,HR,Team Lead,41,1,3,8,9,2024-01-03 00:00:00,4,No,Good work-life balance
